Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x10_Male","SAMTEC_T1M-05-X-DV",0.100000,45.750000,0.000000,bottom
"C1","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-16.600000,39.350000,-90.000000,top
"C2","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.800000,39.350000,-90.000000,top
"C5","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-8.600000,45.350000,90.000000,top
"C6","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-6.500000,45.350000,90.000000,top
"D1","LED","1212_LED_Pol",6.087000,34.348000,-29.143000,top
"D2","LED","1212_LED_Pol",12.310000,25.601000,-80.000000,top
"D3","LED","1212_LED_Pol",9.289000,15.066000,45.000000,top
"D4","LED","1212_LED_Pol",-8.839000,14.591000,135.000000,top
"D5","LED","1212_LED_Pol",-12.421000,24.830000,80.000000,top
"D6","LED","1212_LED_Pol",-6.650000,34.014000,30.000000,top
"R2","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",4.800000,40.200000,90.000000,top
"R4","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",7.200000,40.200000,90.000000,top
"R6","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",9.600000,40.200000,90.000000,top
"R8","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.200000,40.150000,90.000000,top
"R10","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-8.000000,40.150000,90.000000,top
"R12","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-5.800000,40.150000,90.000000,top
